docId,category
health1201,health
health1202,health
health1203,health
health1204,health
health1205,health
health1206,health
health1207,health
health1208,health
health1209,health
health1210,health
health1211,health
health1212,health
health1213,health
health1214,health
health1215,health
health1216,health
health1217,health
health1218,health
health1219,health
health1220,health
health1221,health
health1222,health
health1223,health
health1224,health
health1225,health
health1226,health
health1227,health
health1228,health
health1229,health
health1230,health
health1231,health
health1232,health
health1233,health
health1234,health
health1235,health
health1236,health
health1237,health
health1238,health
health1239,health
health1240,health
health1241,health
health1242,health
health1243,health
health1244,health
health1245,health
health1246,health
health1247,health
health1248,health
health1249,health
health1250,health
health1251,health
health1252,health
health1253,health
health1254,health
health1255,health
health1256,health
health1257,health
health1258,health
health1259,health
health1260,health
health1261,health
health1262,health
health1263,health
health1264,health
health1265,health
health1266,health
health1267,health
health1268,health
health1269,health
health1270,health
health1271,health
health1272,health
health1273,health
health1274,health
health1275,health
health1276,health
health1277,health
health1278,health
health1279,health
health1280,health
health1281,health
health1282,health
health1283,health
health1284,health
health1285,health
health1286,health
health1287,health
health1288,health
health1289,health
health1290,health
health1291,health
health1292,health
health1293,health
health1294,health
health1295,health
health1296,health
health1297,health
health1298,health
health1299,health
health1300,health
health1301,health
health1302,health
health1303,health
health1304,health
health1305,health
health1306,health
health1307,health
health1308,health
health1309,health
health1310,health
health1311,health
health1312,health
health1313,health
health1314,health
health1315,health
health1316,health
health1317,health
health1318,health
health1319,health
health1320,health
health1321,health
health1322,health
health1323,health
health1324,health
health1325,health
health1326,health
health1327,health
health1328,health
health1329,health
health1330,health
health1331,health
health1332,health
health1333,health
health1334,health
health1335,health
health1336,health
health1337,health
health1338,health
health1339,health
health1340,health
health1341,health
health1342,health
health1343,health
health1344,health
health1345,health
health1346,health
health1347,health
health1348,health
health1349,health
health1350,health
health1351,health
health1352,health
health1353,health
health1354,health
health1355,health
health1356,health
health1357,health
health1358,health
health1359,health
health1360,health
health1361,health
health1362,health
health1363,health
health1364,health
health1365,health
health1366,health
health1367,health
health1368,health
health1369,health
health1370,health
health1371,health
health1372,health
health1373,health
health1374,health
health1375,health
health1376,health
health1377,health
health1378,health
health1379,health
health1380,health
health1381,health
health1382,health
health1383,health
health1384,health
health1385,health
health1386,health
health1387,health
health1388,health
health1389,health
health1390,health
health1391,health
health1392,health
health1393,health
health1394,health
health1395,health
health1396,health
health1397,health
health1398,health
health1399,health
health1400,health
health1401,health
health1402,health
health1403,health
health1404,health
health1405,health
health1406,health
health1407,health
health1408,health
health1409,health
health1410,health
health1411,health
health1412,health
health1413,health
health1414,health
health1415,health
health1416,health
health1417,health
health1418,health
health1419,health
health1420,health
health1421,health
health1422,health
health1423,health
health1424,health
health1425,health
health1426,health
health1427,health
health1428,health
health1429,health
health1430,health
health1431,health
health1432,health
health1433,health
health1434,health
health1435,health
health1436,health
health1437,health
health1438,health
health1439,health
health1440,health
health1441,health
health1442,health
health1443,health
health1444,health
health1445,health
health1446,health
health1447,health
health1448,health
health1449,health
health1450,health
health1451,health
health1452,health
health1453,health
health1454,health
health1455,health
health1456,health
health1457,health
health1458,health
health1459,health
health1460,health
health1461,health
health1462,health
health1463,health
health1464,health
health1465,health
health1466,health
health1467,health
health1468,health
health1469,health
health1470,health
health1471,health
health1472,health
health1473,health
health1474,health
health1475,health
health1476,health
health1477,health
health1478,health
health1479,health
health1480,health
health1481,health
health1482,health
health1483,health
health1484,health
health1485,health
health1486,health
health1487,health
health1488,health
health1489,health
health1490,health
health1491,health
health1492,health
health1493,health
health1494,health
health1495,health
health1496,health
health1497,health
health1498,health
health1499,health
health1500,health
health1501,health
health1502,health
health1503,health
health1504,health
health1505,health
health1506,health
health1507,health
health1508,health
health1509,health
health1510,health
health1511,health
health1512,health
health1513,health
health1514,health
health1515,health
health1516,health
health1517,health
health1518,health
health1519,health
health1520,health
health1521,health
health1522,health
health1523,health
health1524,health
health1525,health
health1526,health
health1527,health
health1528,health
health1529,health
health1530,health
health1531,health
health1532,health
health1533,health
health1534,health
health1535,health
health1536,health
health1537,health
health1538,health
health1539,health
health1540,health
health1541,health
health1542,health
health1543,health
health1544,health
health1545,health
health1546,health
health1547,health
health1548,health
health1549,health
health1550,health
health1551,health
health1552,health
health1553,health
health1554,health
health1555,health
health1556,health
health1557,health
health1558,health
health1559,health
health1560,health
health1561,health
health1562,health
health1563,health
health1564,health
health1565,health
health1566,health
health1567,health
health1568,health
health1569,health
health1570,health
health1571,health
health1572,health
health1573,health
health1574,health
health1575,health
health1576,health
health1577,health
health1578,health
health1579,health
health1580,health
health1581,health
health1582,health
health1583,health
health1584,health
health1585,health
health1586,health
health1587,health
health1588,health
health1589,health
health1590,health
health1591,health
health1592,health
health1593,health
health1594,health
health1595,health
health1596,health
health1597,health
health1598,health
health1599,health
health1600,health
health1601,health
health1602,health
health1603,health
health1604,health
health1605,health
health1606,health
health1607,health
health1608,health
health1609,health
health1610,health
health1611,health
health1612,health
health1613,health
health1614,health
health1615,health
health1616,health
health1617,health
health1618,health
health1619,health
health1620,health
health1621,health
health1622,health
health1623,health
health1624,health
health1625,health
health1626,health
health1627,health
health1628,health
health1629,health
health1630,health
health1631,health
health1632,health
health1633,health
health1634,health
health1635,health
health1636,health
health1637,health
health1638,health
health1639,health
health1640,health
health1641,health
health1642,health
health1643,health
health1644,health
health1645,health
health1646,health
health1647,health
health1648,health
health1649,health
health1650,health
health1651,health
health1652,health
health1653,health
health1654,health
health1655,health
health1656,health
health1657,health
health1658,health
health1659,health
health1660,health
health1661,health
health1662,health
health1663,health
health1664,health
health1665,health
health1666,health
health1667,health
health1668,health
health1669,health
health1670,health
health1671,health
health1672,health
health1673,health
health1674,health
health1675,health
health1676,health
health1677,health
health1678,health
health1679,health
health1680,health
health1681,health
health1682,health
health1683,health
health1684,health
health1685,health
health1686,health
health1687,health
health1688,health
health1689,health
health1690,health
health1691,health
health1692,health
health1693,health
health1694,health
health1695,health
health1696,health
health1697,health
health1698,health
health1699,health
health1700,health
health1701,health
health1702,health
health1703,health
health1704,health
health1705,health
health1706,health
health1707,health
health1708,health
health1709,health
health1710,health
health1711,health
health1712,health
health1713,health
health1714,health
health1715,health
health1716,health
health1717,health
health1718,health
health1719,health
health1720,health
health1721,health
health1722,health
health1723,health
health1724,health
health1725,health
health1726,health
health1727,health
health1728,health
health1729,health
health1730,health
health1731,health
health1732,health
health1733,health
health1734,health
health1735,health
health1736,health
health1737,health
health1738,health
health1739,health
health1740,health
health1741,health
health1742,health
health1743,health
health1744,health
health1745,health
health1746,health
health1747,health
health1748,health
health1749,health
health1750,health
health1751,health
health1752,health
health1753,health
health1754,health
health1755,health
health1756,health
health1757,health
health1758,health
health1759,health
health1760,health
health1761,health
health1762,health
health1763,health
health1764,health
health1765,health
health1766,health
health1767,health
health1768,health
health1769,health
health1770,health
health1771,health
health1772,health
health1773,health
health1774,health
health1775,health
health1776,health
health1777,health
health1778,health
health1779,health
health1780,health
health1781,health
health1782,health
health1783,health
health1784,health
health1785,health
health1786,health
health1787,health
health1788,health
health1789,health
health1790,health
health1791,health
health1792,health
health1793,health
health1794,health
health1795,health
health1796,health
health1797,health
health1798,health
health1799,health
health1800,health
health1801,health
health1802,health
health1803,health
health1804,health
health1805,health
health1806,health
health1807,health
health1808,health
health1809,health
health1810,health
health1811,health
health1812,health
health1813,health
health1814,health
health1815,health
health1816,health
health1817,health
health1818,health
health1819,health
health1820,health
health1821,health
health1822,health
health1823,health
health1824,health
health1825,health
health1826,health
health1827,health
health1828,health
health1829,health
health1830,health
health1831,health
health1832,health
health1833,health
health1834,health
health1835,health
health1836,health
health1837,health
health1838,health
health1839,health
health1840,health
health1841,health
health1842,health
health1843,health
health1844,health
health1845,health
health1846,health
health1847,health
health1848,health
health1849,health
health1850,health
health1851,health
health1852,health
health1853,health
health1854,health
health1855,health
health1856,health
health1857,health
health1858,health
health1859,health
health1860,health
health1861,health
health1862,health
health1863,health
health1864,health
health1865,health
health1866,health
health1867,health
health1868,health
health1869,health
health1870,health
health1871,health
health1872,health
health1873,health
health1874,health
health1875,health
health1876,health
health1877,health
health1878,health
health1879,health
health1880,health
health1881,health
health1882,health
health1883,health
health1884,health
health1885,health
health1886,health
health1887,health
health1888,health
health1889,health
health1890,health
health1891,health
health1892,health
health1893,health
health1894,health
health1895,health
health1896,health
health1897,health
health1898,health
health1899,health
health1900,health
health1901,health
health1902,health
health1903,health
health1904,health
health1905,health
health1906,health
health1907,health
health1908,health
health1909,health
health1910,health
health1911,health
health1912,health
health1913,health
health1914,health
health1915,health
health1916,health
health1917,health
health1918,health
health1919,health
health1920,health
health1921,health
health1922,health
health1923,health
health1924,health
health1925,health
health1926,health
health1927,health
health1928,health
health1929,health
health1930,health
health1931,health
health1932,health
health1933,health
health1934,health
health1935,health
health1936,health
health1937,health
health1938,health
health1939,health
health1940,health
health1941,health
health1942,health
health1943,health
health1944,health
health1945,health
health1946,health
health1947,health
health1948,health
health1949,health
health1950,health
health1951,health
health1952,health
health1953,health
health1954,health
health1955,health
health1956,health
health1957,health
health1958,health
health1959,health
health1960,health
health1961,health
health1962,health
health1963,health
health1964,health
health1965,health
health1966,health
health1967,health
health1968,health
health1969,health
health1970,health
health1971,health
health1972,health
health1973,health
health1974,health
health1975,health
health1976,health
health1977,health
health1978,health
health1979,health
health1980,health
health1981,health
health1982,health
health1983,health
health1984,health
health1985,health
health1986,health
health1987,health
health1988,health
health1989,health
health1990,health
health1991,health
health1992,health
health1993,health
health1994,health
health1995,health
health1996,health
health1997,health
health1998,health
health1999,health
health2000,health
health2001,health
health2002,health
health2003,health
health2004,health
health2005,health
health2006,health
health2007,health
health2008,health
health2009,health
health2010,health
health2011,health
health2012,health
health2013,health
health2014,health
health2015,health
health2016,health
health2017,health
health2018,health
health2019,health
health2020,health
health2021,health
health2022,health
health2023,health
health2024,health
health2025,health
health2026,health
health2027,health
health2028,health
health2029,health
health2030,health
health2031,health
health2032,health
health2033,health
health2034,health
health2035,health
health2036,health
health2037,health
health2038,health
health2039,health
health2040,health
health2041,health
health2042,health
health2043,health
health2044,health
health2045,health
health2046,health
health2047,health
health2048,health
health2049,health
health2050,health
health2051,health
health2052,health
health2053,health
health2054,health
health2055,health
health2056,health
health2057,health
health2058,health
health2059,health
health2060,health
health2061,health
health2062,health
health2063,health
health2064,health
health2065,health
health2066,health
health2067,health
health2068,health
health2069,health
health2070,health
health2071,health
health2072,health
health2073,health
health2074,health
health2075,health
health2076,health
health2077,health
health2078,health
health2079,health
health2080,health
health2081,health
health2082,health
health2083,health
health2084,health
health2085,health
health2086,health
health2087,health
health2088,health
health2089,health
health2090,health
health2091,health
health2092,health
health2093,health
health2094,health
health2095,health
health2096,health
health2097,health
health2098,health
health2099,health
health2100,health
health2101,health
health2102,health
health2103,health
health2104,health
health2105,health
health2106,health
health2107,health
health2108,health
health2109,health
health2110,health
health2111,health
health2112,health
health2113,health
health2114,health
health2115,health
health2116,health
health2117,health
health2118,health
health2119,health
health2120,health
health2121,health
health2122,health
health2123,health
health2124,health
health2125,health
health2126,health
health2127,health
health2128,health
health2129,health
health2130,health
health2131,health
health2132,health
health2133,health
health2134,health
health2135,health
health2136,health
health2137,health
health2138,health
health2139,health
health2140,health
health2141,health
health2142,health
health2143,health
health2144,health
health2145,health
health2146,health
health2147,health
health2148,health
health2149,health
health2150,health
health2151,health
health2152,health
health2153,health
health2154,health
health2155,health
health2156,health
health2157,health
health2158,health
health2159,health
health2160,health
health2161,health
health2162,health
health2163,health
health2164,health
health2165,health
health2166,health
health2167,health
health2168,health
health2169,health
health2170,health
health2171,health
health2172,health
health2173,health
health2174,health
health2175,health
health2176,health
health2177,health
health2178,health
health2179,health
health2180,health
health2181,health
health2182,health
health2183,health
health2184,health
health2185,health
health2186,health
health2187,health
health2188,health
health2189,health
health2190,health
health2191,health
health2192,health
health2193,health
health2194,health
health2195,health
health2196,health
health2197,health
health2198,health
health2199,health
health2200,health
health2201,health
health2202,health
health2203,health
health2204,health
health2205,health
health2206,health
health2207,health
health2208,health
health2209,health
health2210,health
health2211,health
health2212,health
health2213,health
health2214,health
health2215,health
health2216,health
health2217,health
health2218,health
health2219,health
health2220,health
health2221,health
health2222,health
health2223,health
health2224,health
health2225,health
health2226,health
health2227,health
health2228,health
health2229,health
health2230,health
health2231,health
health2232,health
health2233,health
health2234,health
health2235,health
health2236,health
health2237,health
health2238,health
health2239,health
health2240,health
health2241,health
health2242,health
health2243,health
health2244,health
health2245,health
health2246,health
health2247,health
health2248,health
health2249,health
health2250,health
health2251,health
health2252,health
health2253,health
health2254,health
health2255,health
health2256,health
health2257,health
health2258,health
health2259,health
health2260,health
health2261,health
health2262,health
health2263,health
health2264,health
health2265,health
health2266,health
health2267,health
health2268,health
health2269,health
health2270,health
health2271,health
health2272,health
health2273,health
health2274,health
health2275,health
health2276,health
health2277,health
health2278,health
health2279,health
health2280,health
health2281,health
health2282,health
health2283,health
health2284,health
health2285,health
health2286,health
health2287,health
health2288,health
health2289,health
health2290,health
health2291,health
health2292,health
health2293,health
health2294,health
health2295,health
health2296,health
health2297,health
health2298,health
health2299,health
health2300,health
health2301,health
health2302,health
health2303,health
health2304,health
health2305,health
health2306,health
health2307,health
health2308,health
health2309,health
health2310,health
health2311,health
health2312,health
health2313,health
health2314,health
health2315,health
health2316,health
health2317,health
health2318,health
health2319,health
health2320,health
health2321,health
health2322,health
health2323,health
health2324,health
health2325,health
health2326,health
health2327,health
health2328,health
health2329,health
health2330,health
health2331,health
health2332,health
health2333,health
health2334,health
health2335,health
health2336,health
health2337,health
health2338,health
health2339,health
health2340,health
health2341,health
health2342,health
health2343,health
health2344,health
health2345,health
health2346,health
health2347,health
health2348,health
health2349,health
health2350,health
health2351,health
health2352,health
health2353,health
health2354,health
health2355,health
health2356,health
health2357,health
health2358,health
health2359,health
health2360,health
health2361,health
health2362,health
health2363,health
health2364,health
health2365,health
health2366,health
health2367,health
health2368,health
health2369,health
health2370,health
health2371,health
health2372,health
health2373,health
health2374,health
health2375,health
health2376,health
health2377,health
health2378,health
health2379,health
health2380,health
health2381,health
health2382,health
health2383,health
health2384,health
health2385,health
health2386,health
health2387,health
health2388,health
health2389,health
health2390,health
health2391,health
health2392,health
health2393,health
health2394,health
health2395,health
health2396,health
health2397,health
health2398,health
health2399,health
health2400,health
health2401,health
health2402,health
health2403,health
health2404,health
health2405,health
health2406,health
health2407,health
health2408,health
health2409,health
health2410,health
health2411,health
health2412,health
health2413,health
health2414,health
health2415,health
health2416,health
health2417,health
health2418,health
health2419,health
health2420,health
health2421,health
health2422,health
health2423,health
health2424,health
health2425,health
health2426,health
health2427,health
health2428,health
health2429,health
health2430,health
health2431,health
health2432,health
health2433,health
health2434,health
health2435,health
health2436,health
health2437,health
health2438,health
health2439,health
health2440,health
health2441,health
health2442,health
health2443,health
health2444,health
health2445,health
health2446,health
health2447,health
health2448,health
health2449,health
health2450,health
health2451,health
health2452,health
health2453,health
health2454,health
health2455,health
health2456,health
health2457,health
health2458,health
health2459,health
health2460,health
health2461,health
health2462,health
health2463,health
health2464,health
health2465,health
health2466,health
health2467,health
health2468,health
health2469,health
health2470,health
health2471,health
health2472,health
health2473,health
health2474,health
health2475,health
health2476,health
health2477,health
health2478,health
health2479,health
health2480,health
health2481,health
health2482,health
health2483,health
health2484,health
health2485,health
health2486,health
health2487,health
health2488,health
health2489,health
health2490,health
health2491,health
health2492,health
health2493,health
health2494,health
health2495,health
health2496,health
health2497,health
health2498,health
