index,docId,category,charCount,wordCount,url
35,health35,health,1104,412,https://kohsantepheapdaily.com.kh/article/1377837.html
36,health36,health,429,153,https://kohsantepheapdaily.com.kh/article/1137172.html
37,health37,health,2119,784,https://kohsantepheapdaily.com.kh/article/1853706.html
38,health38,health,1500,567,https://kohsantepheapdaily.com.kh/article/1994989.html
39,health39,health,2327,867,https://kohsantepheapdaily.com.kh/article/1724227.html
40,health40,health,856,314,https://kohsantepheapdaily.com.kh/article/2051078.html
41,health41,health,701,261,https://www.rfa.org/khmer/news/health/cambodia-records-one-more-death-and-357-new-positive-cases-omicron-on-march-8-03082022044206.html
42,health42,health,4420,1652,https://www.rfa.org/khmer/news/health/husband-of-a-factory-worker-who-is-dying-due-to-malpractice-surgery-worried-about-no-money-for-treatment-and-demands-justice-12012022181745.html
43,health43,health,1811,680,https://kohsantepheapdaily.com.kh/article/1578107.html
44,health44,health,2156,795,https://kohsantepheapdaily.com.kh/article/1995892.html
45,health45,health,3850,1433,https://www.rfa.org/khmer/news/health/a-lot-of-cambodian-people-seek-medical-treatment-in-thailand-09102022041419.html
46,health46,health,2905,1050,https://kohsantepheapdaily.com.kh/article/1490378.html
47,health47,health,1164,437,https://kohsantepheapdaily.com.kh/article/1470095.html
48,health48,health,2049,777,https://kohsantepheapdaily.com.kh/article/2013506.html
49,health49,health,951,353,https://kohsantepheapdaily.com.kh/article/1278323.html
50,health50,health,2881,1055,https://kohsantepheapdaily.com.kh/article/1972678.html
51,health51,health,711,270,https://kohsantepheapdaily.com.kh/article/2042068.html
52,health52,health,1220,439,https://kohsantepheapdaily.com.kh/article/1386139.html
53,health53,health,1302,480,https://kohsantepheapdaily.com.kh/article/1419676.html
54,health54,health,2055,757,https://kohsantepheapdaily.com.kh/article/1167613.html
55,health55,health,3387,1243,https://kohsantepheapdaily.com.kh/article/1442621.html
56,health56,health,1374,506,https://kohsantepheapdaily.com.kh/article/1502874.html
57,health57,health,5849,2202,https://www.rfa.org/khmer/news/health/civil-society-and-youths-say-cambodia-ranks-high-in-drinking-in-asean-because-of-cambodia-is-lack-of-alcohol-laws-07092023070332.html
58,health58,health,2630,995,https://kohsantepheapdaily.com.kh/article/1571118.html
59,health59,health,3517,1284,https://kohsantepheapdaily.com.kh/article/1412673.html
60,health60,health,895,340,https://kohsantepheapdaily.com.kh/article/1449690.html
61,health61,health,1470,556,https://kohsantepheapdaily.com.kh/article/1229635.html
62,health62,health,1040,389,https://kohsantepheapdaily.com.kh/article/1950644.html
63,health63,health,1446,543,https://kohsantepheapdaily.com.kh/article/2000790.html
64,health64,health,3033,1153,https://kohsantepheapdaily.com.kh/article/1845449.html
65,health65,health,1228,452,https://kohsantepheapdaily.com.kh/article/1386125.html
66,health66,health,6715,2509,https://www.rfa.org/khmer/news/health/residents-in-battambang-worried-about-health-due-to-sewage-discharged-from-the-hospital-into-stung-sangke-02022023034255.html
67,health67,health,1038,380,https://kohsantepheapdaily.com.kh/article/1984268.html
68,health68,health,4237,1565,https://kohsantepheapdaily.com.kh/article/1900400.html
69,health69,health,2064,751,https://kohsantepheapdaily.com.kh/article/%e1%9e%82%e1%9f%92%e1%9e%9a%e1%9e%b6%e1%9e%93%e1%9f%8b%e1%9e%8f%e1%9f%82%e1%9e%85%e1%9e%84%e1%9f%8b%e1%9e%87%e1%9e%98%e1%9f%92%e1%9e%9a%e1%9e%b6%e1%9e%94%e1%9e%90%e1%9e%b6-%e1%9e%97%e1%9f%92%e1%9e%93.html
70,health70,health,731,271,https://kohsantepheapdaily.com.kh/article/1983499.html
71,health71,health,4404,1633,https://kohsantepheapdaily.com.kh/article/1504269.html
72,health72,health,1151,444,https://kohsantepheapdaily.com.kh/article/1987936.html
73,health73,health,3100,1172,https://kohsantepheapdaily.com.kh/article/1965593.html
74,health74,health,2280,837,https://kohsantepheapdaily.com.kh/article/1273152.html
75,health75,health,808,302,https://kohsantepheapdaily.com.kh/article/1952131.html
76,health76,health,2313,842,https://kohsantepheapdaily.com.kh/article/1342936.html
77,health77,health,2766,1030,https://kohsantepheapdaily.com.kh/article/1751421.html
78,health78,health,2035,742,https://kohsantepheapdaily.com.kh/article/%e1%9e%9b%e1%9f%84%e1%9e%80%e1%9e%9f%e1%9f%92%e1%9e%9a%e1%9e%b8-%e1%9e%b1-%e1%9e%9c%e1%9e%8e%e1%9f%92%e1%9e%8e%e1%9e%8c%e1%9e%b8%e1%9e%93%e1%9f%96-%e1%9e%96%e1%9f%81%e1%9e%9b%e1%9e%93%e1%9f%81.html
79,health79,health,1403,524,https://kohsantepheapdaily.com.kh/article/1390826.html
80,health80,health,695,252,https://kohsantepheapdaily.com.kh/article/2010428.html
81,health81,health,2697,1023,https://kohsantepheapdaily.com.kh/article/1111483.html
82,health82,health,1540,565,https://kohsantepheapdaily.com.kh/article/1433558.html
83,health83,health,4178,1589,https://www.rfa.org/khmer/news/health/manet-calls-on-people-to-trust-cambodia-health-system-while-ruling-party-officials-seek-health-treatment-abroad-03132024205628.html
84,health84,health,888,347,https://kohsantepheapdaily.com.kh/article/1976118.html
85,health85,health,1216,442,https://kohsantepheapdaily.com.kh/article/1235738.html
86,health86,health,1135,418,https://kohsantepheapdaily.com.kh/article/1412779.html
87,health87,health,1283,492,https://kohsantepheapdaily.com.kh/article/1466774.html
88,health88,health,1337,497,https://kohsantepheapdaily.com.kh/article/1392400.html
89,health89,health,1100,420,https://kohsantepheapdaily.com.kh/article/1321935.html
90,health90,health,3839,1401,https://kohsantepheapdaily.com.kh/article/1901649.html
91,health91,health,4450,1665,https://www.rfa.org/khmer/news/health/cambodian-women-fear-danger-when-they-have-no-money-to-give-birth-and-still-not-trust-the-services-of-public-hospitals-03082024034433.html
92,health92,health,1677,627,https://kohsantepheapdaily.com.kh/article/1320684.html
93,health93,health,1955,726,https://kohsantepheapdaily.com.kh/article/1954440.html
94,health94,health,1323,495,https://kohsantepheapdaily.com.kh/article/1309015.html
95,health95,health,2874,1084,https://kohsantepheapdaily.com.kh/article/1742895.html
96,health96,health,2899,1065,https://kohsantepheapdaily.com.kh/article/1976751.html
97,health97,health,1902,688,https://kohsantepheapdaily.com.kh/article/1340140.html
98,health98,health,1658,605,https://kohsantepheapdaily.com.kh/article/1221550.html
99,health99,health,3015,1112,https://kohsantepheapdaily.com.kh/article/1505310.html
100,health100,health,865,313,https://kohsantepheapdaily.com.kh/article/2024151.html
101,health101,health,2134,754,https://kohsantepheapdaily.com.kh/article/1339723.html
102,health102,health,1573,565,https://kohsantepheapdaily.com.kh/article/1336768.html
103,health103,health,1432,514,https://kohsantepheapdaily.com.kh/article/1389413.html
104,health104,health,3460,1269,https://kohsantepheapdaily.com.kh/article/1735123.html
105,health105,health,1212,450,https://kohsantepheapdaily.com.kh/article/1212575.html
106,health106,health,1214,467,https://www.rfa.org/khmer/news/health/ministry-of-health-plans-to-launch-digital-health-monitoring-system-for-new-born-10282022085852.html
107,health107,health,1167,429,https://kohsantepheapdaily.com.kh/article/%e1%9e%8a%e1%9e%bc%e1%9e%8e%e1%9e%b6%e1%9e%9b%e1%9f%8b-%e1%9e%8f%e1%9f%92%e1%9e%9a%e1%9e%b6%e1%9f%86%e1%9f%96-%e1%9e%9c%e1%9f%89%e1%9e%b6%e1%9e%80%e1%9f%8b%e1%9e%9f%e1%9e%b6%e1%9f%86%e1%9e%84%e1%9e%80.html
108,health108,health,1947,742,https://www.rfa.org/khmer/news/health/hun-sen-requests-the-health-ministry-to-examine-the-possibility-of-kidney-transplant-in-the-country-03222022200617.html
109,health109,health,1359,491,https://kohsantepheapdaily.com.kh/article/1041270.html
110,health110,health,1671,640,https://kohsantepheapdaily.com.kh/article/1499409.html
111,health111,health,1332,506,https://kohsantepheapdaily.com.kh/article/1445715.html
112,health112,health,1738,656,https://kohsantepheapdaily.com.kh/article/1370723.html
113,health113,health,2196,822,https://kohsantepheapdaily.com.kh/article/1638595.html
114,health114,health,799,294,https://kohsantepheapdaily.com.kh/article/2038056.html
115,health115,health,789,293,https://www.rfa.org/khmer/news/health/cambodia-records-one-more-death-and-140-new-cases-of-omicron-on-march-16-03162022082009.html
116,health116,health,487,175,https://www.rfa.org/khmer/news/health/update-covid19-omicron-04302022082758.html
117,health117,health,1546,568,https://kohsantepheapdaily.com.kh/article/1558239.html
118,health118,health,4116,1529,https://kohsantepheapdaily.com.kh/article/1498465.html
119,health119,health,3436,1265,https://kohsantepheapdaily.com.kh/article/1801990.html
120,health120,health,1696,656,https://kohsantepheapdaily.com.kh/article/1083654.html
121,health121,health,2372,862,https://kohsantepheapdaily.com.kh/article/1568519.html
122,health122,health,1079,410,https://kohsantepheapdaily.com.kh/article/1267960.html
123,health123,health,3290,1205,https://kohsantepheapdaily.com.kh/article/1855728.html
124,health124,health,1187,446,https://kohsantepheapdaily.com.kh/article/1441811.html
125,health125,health,1386,517,https://kohsantepheapdaily.com.kh/article/1394626.html
126,health126,health,1707,646,https://kohsantepheapdaily.com.kh/article/1105482.html
127,health127,health,1181,424,https://kohsantepheapdaily.com.kh/article/2035713.html
128,health128,health,1226,459,https://www.rfa.org/khmer/news/health/hun-sen-statement-on-malaria-04232022082634.html
129,health129,health,3242,1193,https://kohsantepheapdaily.com.kh/article/1545787.html
130,health130,health,1440,523,https://kohsantepheapdaily.com.kh/article/1467581.html
131,health131,health,1835,661,https://kohsantepheapdaily.com.kh/article/2037556.html
132,health132,health,1256,456,https://kohsantepheapdaily.com.kh/article/1372284.html
133,health133,health,1351,523,https://kohsantepheapdaily.com.kh/article/1319513.html
134,health134,health,1441,542,https://kohsantepheapdaily.com.kh/article/2000608.html
135,health135,health,1614,590,https://kohsantepheapdaily.com.kh/article/1224451.html
136,health136,health,2660,988,https://kohsantepheapdaily.com.kh/article/%e1%9e%82%e1%9f%92%e1%9e%98%e1%9e%b6%e1%9e%93%e1%9e%85%e1%9f%86%e1%9e%8e%e1%9e%bc%e1%9e%9b-%e1%9e%82%e1%9f%92%e1%9e%98%e1%9e%b6%e1%9e%93%e1%9e%a2%e1%9f%92%e1%9e%93%e1%9e%80%e1%9e%98%e1%9e%be%e1%9e%9b.html
137,health137,health,537,198,https://kohsantepheapdaily.com.kh/article/1083769.html
138,health138,health,3740,1351,https://kohsantepheapdaily.com.kh/article/1884743.html
139,health139,health,1618,598,https://kohsantepheapdaily.com.kh/article/1973228.html
140,health140,health,375,141,https://kohsantepheapdaily.com.kh/article/1221773.html
141,health141,health,1728,658,https://kohsantepheapdaily.com.kh/article/2043557.html
142,health142,health,1274,481,https://kohsantepheapdaily.com.kh/article/1374949.html
143,health143,health,1873,701,https://kohsantepheapdaily.com.kh/article/1209914.html
144,health144,health,2273,835,https://kohsantepheapdaily.com.kh/article/1967038.html
145,health145,health,1403,515,https://kohsantepheapdaily.com.kh/article/1507349.html
146,health146,health,1604,588,https://kohsantepheapdaily.com.kh/article/%e1%9e%87%e1%9e%94%e1%9f%89%e1%9e%bb%e1%9e%93%e1%9e%95%e1%9f%92%e1%9e%8f%e1%9e%9b%e1%9f%8b%e1%9e%a5%e1%9e%8e%e1%9e%91%e1%9e%b6%e1%9e%93%e1%9e%87%e1%9e%b6%e1%9e%84%e1%9f%a2%e1%9f%a3%e1%9f%a0-%e1%9e%9b.html
147,health147,health,1253,467,https://kohsantepheapdaily.com.kh/article/1383112.html
148,health148,health,885,325,https://kohsantepheapdaily.com.kh/article/1955231.html
149,health149,health,1183,431,https://kohsantepheapdaily.com.kh/article/1405305.html
150,health150,health,1288,473,https://kohsantepheapdaily.com.kh/article/1315950.html
151,health151,health,1545,542,https://kohsantepheapdaily.com.kh/article/1571191.html
152,health152,health,3641,1373,https://kohsantepheapdaily.com.kh/article/1521606.html
153,health153,health,1933,703,https://kohsantepheapdaily.com.kh/article/1403961.html
154,health154,health,3536,1292,https://kohsantepheapdaily.com.kh/article/1796064.html
155,health155,health,7992,3058,https://www.rfa.org/khmer/news/health/ministry-of-health-should-re-enforce-all-related-law-to-prevent-the-risk-of-plastic-surgery-03102023032126.html
156,health156,health,1917,705,https://kohsantepheapdaily.com.kh/article/%e1%9e%80%e1%9e%9a%e1%9e%8e%e1%9e%b8%e1%9e%9a%e1%9e%8a%e1%9f%92%e1%9e%8b%e1%9e%98%e1%9e%93%e1%9f%92%e1%9e%9a%e1%9f%92%e1%9e%8f%e1%9e%b8%e1%9e%80%e1%9e%b6%e1%9e%9a%e1%9e%94%e1%9e%9a%e1%9e%91%e1%9f%81.html
157,health157,health,581,221,https://kohsantepheapdaily.com.kh/article/1046876.html
158,health158,health,912,336,https://kohsantepheapdaily.com.kh/article/2028038.html
159,health159,health,997,361,https://kohsantepheapdaily.com.kh/article/1439659.html
160,health160,health,3197,1198,https://kohsantepheapdaily.com.kh/article/1619663.html
161,health161,health,755,281,https://kohsantepheapdaily.com.kh/article/1095838.html
162,health162,health,1565,581,https://kohsantepheapdaily.com.kh/article/1390842.html
163,health163,health,824,310,https://kohsantepheapdaily.com.kh/article/1953747.html
164,health164,health,2116,775,https://kohsantepheapdaily.com.kh/article/1370869.html
165,health165,health,1274,479,https://kohsantepheapdaily.com.kh/article/%e1%9e%98%e1%9e%bb%e1%9e%93%e1%9e%93%e1%9f%81%e1%9f%87%e1%9e%94%e1%9e%93%e1%9f%92%e1%9e%8f%e1%9e%b7%e1%9e%85-%e1%9e%a5%e1%9e%8e%e1%9f%92%e1%9e%8c%e1%9e%b6%e1%9e%94%e1%9e%b6%e1%9e%93%e1%9e%9c%e1%9f%89.html
166,health166,health,1503,564,https://kohsantepheapdaily.com.kh/article/1383135.html
167,health167,health,2601,988,https://kohsantepheapdaily.com.kh/article/1844561.html
168,health168,health,1232,468,https://kohsantepheapdaily.com.kh/article/1431683.html
169,health169,health,1244,475,https://kohsantepheapdaily.com.kh/article/1424889.html
170,health170,health,1235,462,https://kohsantepheapdaily.com.kh/article/1395992.html
171,health171,health,3230,1187,https://kohsantepheapdaily.com.kh/article/1713602.html
172,health172,health,1890,704,https://kohsantepheapdaily.com.kh/article/1813424.html
173,health173,health,1253,464,https://kohsantepheapdaily.com.kh/article/%e1%9e%94%e1%9e%84%e1%9f%8b%e1%9e%80%e1%9f%92%e1%9e%9b%e1%9e%b6%e1%9e%8a%e1%9f%82%e1%9e%9f%e1%9e%82%e1%9f%92%e1%9e%9a%e1%9f%84%e1%9e%84%e1%9e%8a%e1%9e%b6%e1%9e%80%e1%9f%8b%e1%9e%85%e1%9f%92%e1%9e%94.html
174,health174,health,2091,780,https://kohsantepheapdaily.com.kh/article/1598420.html
175,health175,health,1381,517,https://kohsantepheapdaily.com.kh/article/1484883.html
176,health176,health,1226,447,https://kohsantepheapdaily.com.kh/article/1463840.html
177,health177,health,790,295,https://kohsantepheapdaily.com.kh/article/1110960.html
178,health178,health,1479,563,https://kohsantepheapdaily.com.kh/article/1471326.html
179,health179,health,651,238,https://kohsantepheapdaily.com.kh/article/2053906.html
180,health180,health,3949,1470,https://kohsantepheapdaily.com.kh/article/1503820.html
181,health181,health,1356,496,https://kohsantepheapdaily.com.kh/article/1457643.html
182,health182,health,760,276,https://www.rfa.org/khmer/news/health/update-covid19-omicron-05072022092944.html
183,health183,health,768,285,https://kohsantepheapdaily.com.kh/article/1948538.html
184,health184,health,2937,1082,https://kohsantepheapdaily.com.kh/article/1842838.html
185,health185,health,3158,1200,https://kohsantepheapdaily.com.kh/article/1724969.html
186,health186,health,1577,581,https://kohsantepheapdaily.com.kh/article/1756602.html
187,health187,health,2123,810,https://kohsantepheapdaily.com.kh/article/2015759.html
188,health188,health,1809,677,https://kohsantepheapdaily.com.kh/article/2024520.html
189,health189,health,1551,604,https://www.rfa.org/khmer/news/health/hun-manet-formed-a-doctor-group-for-look-after-the-king-01282024004811.html
190,health190,health,3524,1247,https://kohsantepheapdaily.com.kh/article/1174098.html
191,health191,health,1080,392,https://kohsantepheapdaily.com.kh/article/1485482.html
192,health192,health,1160,428,https://kohsantepheapdaily.com.kh/article/1477302.html
193,health193,health,1539,572,https://kohsantepheapdaily.com.kh/article/1463180.html
194,health194,health,682,248,https://kohsantepheapdaily.com.kh/article/%e1%9e%9b%e1%9f%84%e1%9e%80%e2%80%8b%e1%9e%8f%e1%9f%92%e1%9e%9a%e1%9e%b6%e1%9f%86%e1%9e%93%e1%9e%b7%e1%9e%84%e2%80%8b%e1%9e%97%e1%9e%9a%e1%9e%b7%e1%9e%99%e1%9e%b6%e2%80%8b-%e1%9e%92%e1%9f%92%e1%9e%9c.html
195,health195,health,2333,842,https://kohsantepheapdaily.com.kh/article/1925540.html
196,health196,health,4644,1722,https://kohsantepheapdaily.com.kh/article/1485902.html
197,health197,health,1194,425,https://kohsantepheapdaily.com.kh/article/1416491.html
198,health198,health,1430,525,https://kohsantepheapdaily.com.kh/article/1445017.html
199,health199,health,3417,1267,https://kohsantepheapdaily.com.kh/article/1719332.html
200,health200,health,980,357,https://kohsantepheapdaily.com.kh/article/2002351.html
201,health201,health,1395,512,https://kohsantepheapdaily.com.kh/article/2037295.html
202,health202,health,1790,666,https://www.rfa.org/khmer/news/health/prime-minister-hun-sen-plans-to-lift-ban-on-wearing-masks-in-public-soon-04252022083155.html
203,health203,health,1837,636,https://www.rfa.org/khmer/news/health/us-cdc-head-pledges-ongoing-cooperation-with-cambodia-02092024220943.html
204,health204,health,766,284,https://kohsantepheapdaily.com.kh/article/1313921.html
205,health205,health,2597,971,https://kohsantepheapdaily.com.kh/article/2036103.html
206,health206,health,2365,876,https://kohsantepheapdaily.com.kh/article/1077435.html
207,health207,health,2641,998,https://kohsantepheapdaily.com.kh/article/%e1%9e%80%e1%9e%b6%e1%9e%a0%e1%9f%92%e1%9e%9c%e1%9f%81%e1%9e%a2%e1%9f%92%e1%9e%93%e1%9e%80%e1%9e%97%e1%9f%92%e1%9e%93%e1%9f%86%e1%9e%96%e1%9f%81%e1%9e%89%e1%9e%98%e1%9e%bd%e1%9e%99%e1%9e%80%e1%9f%82.html
208,health208,health,2585,957,https://kohsantepheapdaily.com.kh/article/1368939.html
209,health209,health,1332,493,https://kohsantepheapdaily.com.kh/article/1439951.html
210,health210,health,3516,1262,https://kohsantepheapdaily.com.kh/article/1400248.html
211,health211,health,1391,517,https://kohsantepheapdaily.com.kh/article/1504236.html
212,health212,health,1319,459,https://kohsantepheapdaily.com.kh/article/%e1%9e%9f%e1%9e%98%e1%9f%92%e1%9e%8f%e1%9f%81%e1%9e%85%e1%9e%8f%e1%9f%81%e1%9e%87%e1%9f%84-%e1%9f%96%e2%80%8b-%e1%9e%a2%e1%9f%92%e1%9e%93%e1%9e%80%e1%9e%9a%e1%9e%b7%e1%9f%87%e1%9e%82%e1%9e%93%e1%9f%8b.html
213,health213,health,2128,794,https://kohsantepheapdaily.com.kh/article/2045954.html
214,health214,health,2439,893,https://kohsantepheapdaily.com.kh/article/1553309.html
215,health215,health,742,267,https://kohsantepheapdaily.com.kh/article/1947383.html
216,health216,health,3010,1114,https://kohsantepheapdaily.com.kh/article/1610689.html
217,health217,health,2555,970,https://kohsantepheapdaily.com.kh/article/1975121.html
218,health218,health,1237,477,https://kohsantepheapdaily.com.kh/article/1477294.html
219,health219,health,754,282,https://kohsantepheapdaily.com.kh/article/1951716.html
220,health220,health,679,251,https://kohsantepheapdaily.com.kh/article/1221001.html
221,health221,health,1108,402,https://kohsantepheapdaily.com.kh/article/1943077.html
222,health222,health,2667,977,https://kohsantepheapdaily.com.kh/article/1769257.html
223,health223,health,3264,1181,https://kohsantepheapdaily.com.kh/article/1511197.html
224,health224,health,3830,1412,https://kohsantepheapdaily.com.kh/article/1434082.html
225,health225,health,1379,510,https://kohsantepheapdaily.com.kh/article/1219481.html
226,health226,health,4045,1474,https://kohsantepheapdaily.com.kh/article/1867825.html
227,health227,health,5216,1999,https://www.rfa.org/khmer/news/health/causes-hepatitis-a-symptoms-and-prevention-01122023062424.html
228,health228,health,2090,775,https://kohsantepheapdaily.com.kh/article/1460348.html
229,health229,health,1249,468,https://kohsantepheapdaily.com.kh/article/1504244.html
230,health230,health,2085,785,https://kohsantepheapdaily.com.kh/article/1681664.html
231,health231,health,1158,436,https://kohsantepheapdaily.com.kh/article/1369300.html
232,health232,health,1922,717,https://kohsantepheapdaily.com.kh/article/1346248.html
233,health233,health,1029,391,https://kohsantepheapdaily.com.kh/article/1425611.html
234,health234,health,552,193,https://kohsantepheapdaily.com.kh/article/2017022.html
235,health235,health,3279,1221,https://kohsantepheapdaily.com.kh/article/1484257.html
236,health236,health,3356,1242,https://kohsantepheapdaily.com.kh/article/1674508.html
237,health237,health,2953,1089,https://kohsantepheapdaily.com.kh/article/1652523.html
238,health238,health,965,364,https://kohsantepheapdaily.com.kh/article/1322581.html
239,health239,health,4101,1495,https://kohsantepheapdaily.com.kh/article/1400035.html
240,health240,health,2431,896,https://kohsantepheapdaily.com.kh/article/1550745.html
241,health241,health,554,199,https://www.rfa.org/khmer/news/health/update-covid19-omicron-04182022054932.html
242,health242,health,3070,1146,https://kohsantepheapdaily.com.kh/article/1826348.html
243,health243,health,1387,511,https://kohsantepheapdaily.com.kh/article/1410402.html
244,health244,health,1161,425,https://kohsantepheapdaily.com.kh/article/1489342.html
245,health245,health,1264,420,https://kohsantepheapdaily.com.kh/article/1368548.html
246,health246,health,1981,721,https://kohsantepheapdaily.com.kh/article/1077396.html
247,health247,health,2047,774,https://kohsantepheapdaily.com.kh/article/1098899.html
248,health248,health,607,224,https://kohsantepheapdaily.com.kh/article/1209560.html
249,health249,health,3940,1500,https://www.rfa.org/khmer/news/health/ngo-push-for-the-new-government-strengthen-antenatal-care-policy-for-women-during-pregnancy-09212023183154.html
250,health250,health,3798,1409,https://kohsantepheapdaily.com.kh/article/1516551.html
251,health251,health,1416,518,https://kohsantepheapdaily.com.kh/article/1337542.html
252,health252,health,1927,740,https://kohsantepheapdaily.com.kh/article/1994400.html
253,health253,health,6541,2405,https://kohsantepheapdaily.com.kh/article/2023735.html
254,health254,health,746,279,https://kohsantepheapdaily.com.kh/article/1980965.html
255,health255,health,4089,1529,https://kohsantepheapdaily.com.kh/article/1648600.html
256,health256,health,1482,555,https://kohsantepheapdaily.com.kh/article/1229441.html
257,health257,health,1095,413,https://kohsantepheapdaily.com.kh/article/2016415.html
258,health258,health,1439,539,https://kohsantepheapdaily.com.kh/article/1501062.html
259,health259,health,1696,665,https://kohsantepheapdaily.com.kh/article/2003987.html
260,health260,health,2960,1102,https://kohsantepheapdaily.com.kh/article/1498211.html
261,health261,health,3428,1276,https://kohsantepheapdaily.com.kh/article/1703286.html
262,health262,health,1232,460,https://kohsantepheapdaily.com.kh/article/2004391.html
263,health263,health,3228,1201,https://kohsantepheapdaily.com.kh/article/1587321.html
264,health264,health,1422,532,https://kohsantepheapdaily.com.kh/article/%e1%9e%9f%e1%9e%98%e1%9f%92%e1%9e%8f%e1%9f%81%e1%9e%85%e1%9e%a0%e1%9f%8a%e1%9e%bb%e1%9e%93-%e1%9e%9f%e1%9f%82%e1%9e%93%e1%9e%96%e1%9e%93%e1%9f%92%e1%9e%99%e1%9e%9b%e1%9f%8b%e1%9e%a0%e1%9f%81%e1%9e%8f.html
265,health265,health,5593,2128,https://www.rfa.org/khmer/news/health/research-links-deforestation-in-cambodia-to-stunting-in-kids-anemia-in-women-04252024040239.html
266,health266,health,802,297,https://kohsantepheapdaily.com.kh/article/1941786.html
267,health267,health,158,54,https://kohsantepheapdaily.com.kh/article/2021916.html
268,health268,health,2438,896,https://kohsantepheapdaily.com.kh/article/1804510.html
269,health269,health,1362,516,https://kohsantepheapdaily.com.kh/article/1470103.html
270,health270,health,1406,499,https://kohsantepheapdaily.com.kh/article/1763825.html
271,health271,health,2153,783,https://kohsantepheapdaily.com.kh/article/2009976.html
272,health272,health,2063,764,https://kohsantepheapdaily.com.kh/article/1722767.html
273,health273,health,4001,1460,https://kohsantepheapdaily.com.kh/article/1894230.html
274,health274,health,1327,477,https://kohsantepheapdaily.com.kh/article/1399594.html
275,health275,health,3510,1314,https://kohsantepheapdaily.com.kh/article/1902229.html
276,health276,health,2179,784,https://kohsantepheapdaily.com.kh/article/1349538.html
277,health277,health,3038,1122,https://kohsantepheapdaily.com.kh/article/1906204.html
278,health278,health,1043,383,https://kohsantepheapdaily.com.kh/article/1377829.html
279,health279,health,1199,441,https://kohsantepheapdaily.com.kh/article/2038293.html
